Year,GeoAreaName,Hazard type,Value
2014,Albania,,9
2015,Albania,,12
2016,Albania,,20
2017,Albania,,0
2018,Albania,,21
2015,Georgia,,106
2016,Georgia,,59
2017,Georgia,,8
2018,Georgia,,2
2019,Georgia,,57
2020,Georgia,,2516
2021,Georgia,,11395
2020,Hungary,,0
2021,Hungary,,0
2015,Ireland,,0
2016,Ireland,,0
2017,Ireland,,3
2010,Italy,,70
2011,Italy,,60
2012,Italy,,58
2013,Italy,,70
2014,Italy,,58
2015,Italy,,48
2016,Italy,,332
2017,Italy,,58
2018,Italy,,58
2019,Italy,,41
2020,Italy,,20
2005,Kazakhstan,,6
2006,Kazakhstan,,22
2007,Kazakhstan,,17
2008,Kazakhstan,,11
2009,Kazakhstan,,9
2010,Kazakhstan,,9
2011,Kazakhstan,,14
2012,Kazakhstan,,9
2013,Kazakhstan,,6
2014,Kazakhstan,,2
2015,Kazakhstan,,4
2016,Kazakhstan,,8
2017,Kazakhstan,,29
2018,Kazakhstan,,1
2019,Kazakhstan,,3
2020,Kazakhstan,,2793
2021,Kazakhstan,,15757
2005,Kyrgyzstan,,72
2006,Kyrgyzstan,,84
2007,Kyrgyzstan,,93
2008,Kyrgyzstan,,282
2009,Kyrgyzstan,,71
2010,Kyrgyzstan,,158
2011,Kyrgyzstan,,142
2012,Kyrgyzstan,,99
2019,Albania,,55
2020,Albania,,13
2017,Azerbaijan,,0
2005,Austria,,15
2006,Austria,,4
2007,Austria,,4
2013,Kyrgyzstan,,95
2014,Kyrgyzstan,,67
2015,Kyrgyzstan,,53
2016,Kyrgyzstan,,47
2017,Kyrgyzstan,,141
2018,Kyrgyzstan,,18
2008,Austria,,8
2009,Austria,,6
2010,Austria,,9
2011,Austria,,1
2012,Austria,,13
2013,Austria,,15
2014,Austria,,3
2015,Austria,,6
2016,Austria,,4
2017,Austria,,11
2018,Austria,,1
2019,Austria,,9
2020,Austria,,11
2005,Armenia,,412
2006,Armenia,,436
2007,Armenia,,466
2008,Armenia,,500
2009,Armenia,,402
2010,Armenia,,155
2011,Armenia,,188
2012,Armenia,,274
2013,Armenia,,393
2014,Armenia,,393
2015,Armenia,,430
2016,Armenia,,333
2017,Armenia,,356
2018,Armenia,,403
2019,Armenia,,427
2020,Armenia,,3284
2021,Armenia,,5577
2019,Kyrgyzstan,,19
2020,Kyrgyzstan,,3957
2021,Kyrgyzstan,,109
2020,Lithuania,,2266
2021,Lithuania,,7018
2017,Luxembourg,,0
2017,Bosnia and Herzegovina,,0
2005,Bulgaria,,2
2006,Bulgaria,,0
2007,Bulgaria,,9
2008,Bulgaria,,0
2009,Bulgaria,,0
2010,Bulgaria,,0
2011,Bulgaria,,0
2012,Bulgaria,,10
2013,Bulgaria,,0
2014,Bulgaria,,21
2015,Bulgaria,,0
2018,Luxembourg,,0
2005,Montenegro,,0
2006,Montenegro,,50
2007,Montenegro,,0
2008,Montenegro,,0
2009,Montenegro,,1
2016,Bulgaria,,7
2017,Bulgaria,,4
2018,Bulgaria,,1
2019,Bulgaria,,0
2020,Bulgaria,,0
2021,Bulgaria,,9
2010,Montenegro,,0
2011,Montenegro,,0
2012,Montenegro,,0
2013,Montenegro,,19
2014,Montenegro,,0
2015,Montenegro,,0
2015,Belarus,,0
2016,Belarus,,0
2017,Belarus,,0
2018,Belarus,,0
2019,Belarus,,0
2020,Belarus,,0
2021,Belarus,,0
2017,Croatia,,25
2005,Cyprus,,1
2006,Cyprus,,1
2007,Cyprus,,0
2008,Cyprus,,1
2009,Cyprus,,1
2010,Cyprus,,0
2011,Cyprus,,13
2012,Cyprus,,0
2013,Cyprus,,1
2014,Cyprus,,0
2015,Cyprus,,0
2016,Cyprus,,2
2017,Cyprus,,0
2018,Cyprus,,1
2019,Cyprus,,17
2020,Cyprus,,153
2016,Montenegro,,3
2017,Montenegro,,0
2018,Montenegro,,0
2020,Montenegro,,0
2021,Montenegro,,0
2017,Netherlands,,0
2021,Cyprus,,590
2015,Czechia,,2
2016,Czechia,,1
2017,Czechia,,9
2018,Czechia,,2
2015,Denmark,,0
2019,Netherlands,,0
2017,Norway,,230
2018,Poland,,0
2015,Portugal,,59
2016,Portugal,,42
2017,Portugal,,135
2018,Portugal,,24
2019,Portugal,,21
2020,Portugal,,7024
2021,Portugal,,12056
2005,Romania,,39
2006,Romania,,35
2007,Romania,,11
2008,Romania,,19
2009,Romania,,12
2010,Romania,,27
2011,Romania,,0
2012,Romania,,4
2013,Romania,,6
2014,Romania,,8
2015,Romania,,4
2016,Romania,,7
2017,Romania,,1
2018,Romania,,1239
2019,Romania,,7
2020,Romania,,8
2021,Romania,,2166
2005,Serbia,,5
2006,Serbia,,10
2007,Serbia,,12
2008,Serbia,,18
2009,Serbia,,16
2010,Serbia,,27
2011,Serbia,,36
2012,Serbia,,55
2013,Serbia,,4
2014,Serbia,,35
2016,Serbia,,1
2017,Serbia,,3
2018,Serbia,,9
2020,Serbia,,4
2021,Serbia,,1
2005,Slovenia,,29
2006,Slovenia,,21
2007,Slovenia,,28
2008,Slovenia,,23
2009,Slovenia,,25
2010,Slovenia,,44
2011,Slovenia,,18
2012,Slovenia,,32
2013,Slovenia,,10
2014,Slovenia,,13
2015,Slovenia,,11
2016,Slovenia,,22
2017,Slovenia,,13
2018,Slovenia,,23
2019,Slovenia,,19
2020,Slovenia,,2907
2021,Slovenia,,3088
2005,Spain,,57
2006,Spain,,59
2007,Spain,,35
2008,Spain,,29
2009,Spain,,44
2010,Spain,,66
2011,Spain,,52
2012,Spain,,40
2013,Spain,,34
2014,Spain,,30
2015,Spain,,59
2016,Spain,,33
2017,Spain,,42
2018,Spain,,57
2019,Spain,,52
2005,Sweden,,7
2006,Sweden,,0
2007,Sweden,,3
2008,Sweden,,0
2009,Sweden,,0
2010,Sweden,,0
2011,Sweden,,0
2012,Sweden,,0
2013,Sweden,,0
2014,Sweden,,1
2015,Sweden,,0
2016,Sweden,,0
2017,Sweden,,0
2018,Sweden,,0
2019,Sweden,,0
2020,Sweden,,9265
2005,Switzerland,,502
2006,Switzerland,,436
2007,Switzerland,,444
2008,Switzerland,,440
2009,Switzerland,,418
2010,Switzerland,,376
2011,Switzerland,,392
2012,Switzerland,,430
2013,Switzerland,,337
2014,Switzerland,,309
2015,Switzerland,,1116
2016,Switzerland,,268
2017,Switzerland,,296
2018,Switzerland,,501
2019,Switzerland,,773
2020,Switzerland,,7923
2015,Tajikistan,,35
2016,Tajikistan,,20
2017,Tajikistan,,31
2018,Tajikistan,,12
2019,Tajikistan,,24
2020,Tajikistan,,8
2015,Türkiye,,19
2016,Türkiye,,36
2017,Türkiye,,10
2018,Türkiye,,7
2019,Türkiye,,57
2020,Türkiye,,252
2021,Türkiye,,121
2019,Turkmenistan,,0
2005,Ukraine,,1
2006,Ukraine,,5
2007,Ukraine,,33
2008,Ukraine,,44
2009,Ukraine,,1
2010,Ukraine,,5
2011,Ukraine,,0
2012,Ukraine,,3
2013,Ukraine,,3
2014,Ukraine,,3
2015,Ukraine,,0
2016,Ukraine,,4
2017,Ukraine,,1
2018,Ukraine,,0
2019,Ukraine,,7
2020,Ukraine,,19809
2021,Ukraine,,77410
2019,Uzbekistan,,2
2016,Denmark,,0
2017,Denmark,,0
2018,Denmark,,0
2019,Denmark,,0
2020,Denmark,,1337
2017,Bosnia and Herzegovina,,0
2020,Uzbekistan,,138
2021,Uzbekistan,,11
2005,Albania,,7
2006,Albania,,2
2007,Albania,,2
2008,Albania,,16
2005,Bulgaria,,2
2006,Bulgaria,,0
2007,Bulgaria,,9
2008,Bulgaria,,0
2009,Bulgaria,,0
2010,Bulgaria,,0
2011,Bulgaria,,0
2012,Bulgaria,,10
2013,Bulgaria,,0
2014,Bulgaria,,21
2015,Bulgaria,,0
2016,Bulgaria,,7
2009,Albania,,6
2010,Albania,,13
2011,Albania,,21
2012,Albania,,8
2013,Albania,,9
2014,Albania,,9
2015,Albania,,12
2016,Albania,,20
2017,Albania,,0
2018,Albania,,21
2019,Albania,,55
2020,Albania,,13
2017,Bulgaria,,4
2018,Bulgaria,,1
2019,Bulgaria,,0
2020,Bulgaria,,0
2021,Bulgaria,,9
2015,Belarus,,0
2005,Sweden,,7
2006,Sweden,,0
2007,Sweden,,3
2008,Sweden,,0
2009,Sweden,,0
2010,Sweden,,0
2016,Belarus,,0
2017,Belarus,,0
2018,Belarus,,0
2019,Belarus,,0
2020,Belarus,,0
2021,Belarus,,0
2011,Sweden,,0
2012,Sweden,,0
2013,Sweden,,0
2014,Sweden,,1
2015,Sweden,,0
2016,Sweden,,0
2017,Sweden,,0
2018,Sweden,,0
2019,Sweden,,0
2020,Sweden,,9265
2005,Switzerland,,502
2006,Switzerland,,436
2007,Switzerland,,444
2008,Switzerland,,440
2009,Switzerland,,418
2010,Switzerland,,376
2011,Switzerland,,392
2012,Switzerland,,430
2017,Croatia,,25
2005,Cyprus,,1
2006,Cyprus,,1
2007,Cyprus,,0
2008,Cyprus,,1
2009,Cyprus,,1
2013,Switzerland,,337
2014,Switzerland,,309
2015,Switzerland,,1116
2016,Switzerland,,268
2017,Switzerland,,296
2018,Switzerland,,501
2019,Switzerland,,773
2020,Switzerland,,7923
2015,Tajikistan,,35
2016,Tajikistan,,20
2017,Tajikistan,,31
2018,Tajikistan,,12
2010,Cyprus,,0
2011,Cyprus,,13
2012,Cyprus,,0
2013,Cyprus,,1
2014,Cyprus,,0
2015,Cyprus,,0
2016,Cyprus,,2
2017,Cyprus,,0
2018,Cyprus,,1
2019,Cyprus,,17
2020,Cyprus,,153
2021,Cyprus,,590
2019,Tajikistan,,24
2020,Tajikistan,,8
2015,Türkiye,,19
2016,Türkiye,,36
2017,Türkiye,,10
2018,Türkiye,,7
2015,Czechia,,2
2016,Czechia,,1
2017,Czechia,,9
2018,Czechia,,2
2015,Denmark,,0
2016,Denmark,,0
2019,Türkiye,,57
2020,Türkiye,,252
2021,Türkiye,,121
2019,Turkmenistan,,0
2005,Ukraine,,1
2006,Ukraine,,5
2007,Ukraine,,33
2008,Ukraine,,44
2009,Ukraine,,1
2010,Ukraine,,5
2011,Ukraine,,0
2012,Ukraine,,3
2017,Denmark,,0
2018,Denmark,,0
2019,Denmark,,0
2020,Denmark,,1337
2005,Estonia,,15
2006,Estonia,,0
2013,Ukraine,,3
2014,Ukraine,,3
2015,Ukraine,,0
2016,Ukraine,,4
2017,Ukraine,,1
2018,Ukraine,,0
2017,Azerbaijan,,0
2005,Austria,,15
2006,Austria,,4
2007,Austria,,4
2008,Austria,,8
2009,Austria,,6
2019,Ukraine,,7
2020,Ukraine,,19809
2021,Ukraine,,77410
2019,Uzbekistan,,2
2020,Uzbekistan,,138
2021,Uzbekistan,,11
2007,Estonia,,0
2008,Estonia,,0
2009,Estonia,,0
2010,Estonia,,0
2011,Estonia,,10
2012,Estonia,,0
2013,Estonia,,0
2014,Estonia,,0
2015,Estonia,,0
2016,Estonia,,0
2017,Estonia,,0
2018,Estonia,,0
2005,Finland,,22
2006,Finland,,6
2007,Finland,,17
2008,Finland,,18
2009,Finland,,6
2010,Finland,,11
2011,Finland,,3
2012,Finland,,0
2013,Finland,,3
2014,Finland,,19
2015,Finland,,1
2016,Finland,,3
2017,Finland,,0
2018,Finland,,4
2019,Finland,,0
2016,France,,760
2017,France,,550
2018,France,,1576
2005,Georgia,,45
2006,Georgia,,60
2007,Georgia,,74
2008,Georgia,,84
2009,Georgia,,68
2010,Georgia,,54
2010,Austria,,9
2011,Austria,,1
2012,Austria,,13
2013,Austria,,15
2014,Austria,,3
2015,Austria,,6
2011,Georgia,,60
2012,Georgia,,54
2013,Georgia,,59
2014,Georgia,,80
2015,Georgia,,106
2016,Georgia,,59
2016,Austria,,4
2017,Austria,,11
2018,Austria,,1
2019,Austria,,9
2020,Austria,,11
2005,Armenia,,412
2006,Armenia,,436
2007,Armenia,,466
2008,Armenia,,500
2009,Armenia,,402
2010,Armenia,,155
2011,Armenia,,188
2017,Georgia,,8
2018,Georgia,,2
2019,Georgia,,57
2020,Georgia,,2516
2021,Georgia,,11395
2020,Hungary,,0
2012,Armenia,,274
2013,Armenia,,393
2014,Armenia,,393
2015,Armenia,,430
2016,Armenia,,333
2017,Armenia,,356
2021,Hungary,,0
2015,Ireland,,0
2016,Ireland,,0
2017,Ireland,,3
2010,Italy,,70
2011,Italy,,60
2012,Italy,,58
2013,Italy,,70
2014,Italy,,58
2015,Italy,,48
2016,Italy,,332
2017,Italy,,58
2018,Italy,,58
2019,Italy,,41
2020,Italy,,20
2005,Kazakhstan,,6
2006,Kazakhstan,,22
2007,Kazakhstan,,17
2008,Kazakhstan,,11
2009,Kazakhstan,,9
2010,Kazakhstan,,9
2011,Kazakhstan,,14
2012,Kazakhstan,,9
2013,Kazakhstan,,6
2014,Kazakhstan,,2
2015,Kazakhstan,,4
2016,Kazakhstan,,8
2017,Kazakhstan,,29
2018,Kazakhstan,,1
2019,Kazakhstan,,3
2020,Kazakhstan,,2793
2021,Kazakhstan,,15757
2005,Kyrgyzstan,,72
2006,Kyrgyzstan,,84
2007,Kyrgyzstan,,93
2008,Kyrgyzstan,,282
2009,Kyrgyzstan,,71
2010,Kyrgyzstan,,158
2011,Kyrgyzstan,,142
2012,Kyrgyzstan,,99
2013,Kyrgyzstan,,95
2014,Kyrgyzstan,,67
2015,Kyrgyzstan,,53
2016,Kyrgyzstan,,47
2017,Kyrgyzstan,,141
2018,Kyrgyzstan,,18
2019,Kyrgyzstan,,19
2020,Kyrgyzstan,,3957
2021,Kyrgyzstan,,109
2020,Lithuania,,2266
2021,Lithuania,,7018
2017,Luxembourg,,0
2018,Luxembourg,,0
2005,Montenegro,,0
2006,Montenegro,,50
2007,Montenegro,,0
2008,Montenegro,,0
2009,Montenegro,,1
2010,Montenegro,,0
2011,Montenegro,,0
2012,Montenegro,,0
2013,Montenegro,,19
2014,Montenegro,,0
2015,Montenegro,,0
2016,Montenegro,,3
2017,Montenegro,,0
2018,Montenegro,,0
2020,Montenegro,,0
2021,Montenegro,,0
2017,Netherlands,,0
2019,Netherlands,,0
2017,Norway,,230
2018,Poland,,0
2015,Portugal,,59
2016,Portugal,,42
2017,Portugal,,135
2018,Portugal,,24
2019,Portugal,,21
2020,Portugal,,7024
2021,Portugal,,12056
2005,Romania,,39
2006,Romania,,35
2007,Romania,,11
2008,Romania,,19
2009,Romania,,12
2010,Romania,,27
2011,Romania,,0
2012,Romania,,4
2013,Romania,,6
2014,Romania,,8
2015,Romania,,4
2016,Romania,,7
2017,Romania,,1
2018,Romania,,1239
2019,Romania,,7
2020,Romania,,8
2021,Romania,,2166
2005,Serbia,,5
2006,Serbia,,10
2007,Serbia,,12
2008,Serbia,,18
2009,Serbia,,16
2010,Serbia,,27
2011,Serbia,,36
2012,Serbia,,55
2013,Serbia,,4
2014,Serbia,,35
2016,Serbia,,1
2017,Serbia,,3
2018,Serbia,,9
2020,Serbia,,4
2021,Serbia,,1
2005,Slovenia,,29
2006,Slovenia,,21
2007,Slovenia,,28
2008,Slovenia,,23
2009,Slovenia,,25
2010,Slovenia,,44
2011,Slovenia,,18
2012,Slovenia,,32
2013,Slovenia,,10
2014,Slovenia,,13
2015,Slovenia,,11
2016,Slovenia,,22
2017,Slovenia,,13
2018,Slovenia,,23
2019,Slovenia,,19
2020,Slovenia,,2907
2021,Slovenia,,3088
2005,Spain,,57
2006,Spain,,59
2007,Spain,,35
2008,Spain,,29
2009,Spain,,44
2010,Spain,,66
2011,Spain,,52
2012,Spain,,40
2013,Spain,,34
2014,Spain,,30
2015,Spain,,59
2016,Spain,,33
2017,Spain,,42
2018,Spain,,57
2019,Spain,,52
2018,Armenia,,403
2019,Armenia,,427
2020,Armenia,,3284
2021,Armenia,,5577
2017,Kazakhstan,,29
2018,Kazakhstan,,1
2019,Kazakhstan,,3
2020,Kazakhstan,,2793
2021,Kazakhstan,,15757
2021,Kazakhstan,,15757
